repo,count(*)
.github,1
accumulo,252
accumulo-docker,3
accumulo-examples,8
accumulo-proxy,2
accumulo-testing,14
accumulo-website,35
accumulo-wikisearch,2
activemq,114
activemq-artemis,343
activemq-artemis-native,1
activemq-nms-amqp,18
activemq-nms-api,9
activemq-nms-openwire,4
activemq-website,29
airavata,4
airavata-custos,60
airavata-custos-portal,48
airavata-data-lake,72
airavata-django-portal,15
airavata-mft,10
airavata-site,1
airflow,2618
airflow-JamesIves-github-pages-deploy-action,8
airflow-ci-infra,40
airflow-client-go,5
airflow-client-python,21
airflow-configure-aws-credentials,5
airflow-on-k8s-operator,3
airflow-site,102
ambari,42
ant,17
any23,5
apisix,949
apisix-control-plane,3
apisix-dashboard,598
apisix-docker,71
apisix-go-plugin-runner,30
apisix-helm-chart,77
apisix-ingress-controller,305
apisix-ingress-docker,3
apisix-java-plugin-runner,48
apisix-python-plugin-runner,25
apisix-website,331
apr,2
apr-util,1
archiva,1
aries,22
aries-cdi,20
aries-component-dsl,5
aries-jax-rs-whiteboard,61
aries-jpa,1
aries-typedevent,8
arrow,1959
arrow-cookbook,42
arrow-datafusion,439
arrow-experimental-rs-arrow2,2
arrow-experimental-rs-parquet2,2
arrow-rs,358
arrow-site,63
arrow-testing,11
asterixdb,2
atlas,28
atlas-website,1
attic-crunch,1
attic-predictionio-sdk-php,1
avro,279
axis-axis2-java-core,117
bahir,1
bahir-flink,21
beam,1852
beam-site,7
bigtop,106
bookkeeper,171
brooklyn,7
brooklyn-client,8
brooklyn-dist,11
brooklyn-docs,28
brooklyn-library,2
brooklyn-server,121
brooklyn-ui,101
buildstream,79
calcite,201
calcite-avatica,21
camel,1251
camel-examples,18
camel-k,454
camel-k-examples,18
camel-k-runtime,129
camel-kafka-connector,311
camel-kafka-connector-examples,71
camel-kameleon,12
camel-kamelets,308
camel-karaf,27
camel-karaf-examples,1
camel-performance-tests,3
camel-quarkus,517
camel-quarkus-examples,37
camel-spring-boot,114
camel-spring-boot-examples,10
camel-website,99
carbondata,130
carbondata-site,8
cassandra,332
cassandra-builds,22
cassandra-diff,2
cassandra-dtest,50
cassandra-harry,4
cassandra-in-jvm-dtest-api,1
cassandra-sidecar,1
cassandra-website,39
cayenne,25
celix,44
celix-site,1
chemistry-opencmis,1
clerezza,7
cloudstack,596
cloudstack-cloudmonkey,15
cloudstack-documentation,66
cloudstack-ec2stack,1
cloudstack-gcestack,1
cloudstack-go,5
cloudstack-kubernetes-provider,10
cloudstack-primate,8
cloudstack-www,7
comdev-events-site,2
comdev-fosdem-content,4
comdev-fosdem-static,3
comdev-site,13
commons-bcel,27
commons-beanutils,33
commons-bsf,16
commons-build-plugin,18
commons-chain,12
commons-cli,9
commons-codec,23
commons-collections,48
commons-compress,61
commons-configuration,54
commons-crypto,10
commons-csv,56
commons-daemon,11
commons-dbcp,48
commons-dbutils,34
commons-digester,7
commons-email,21
commons-exec,13
commons-fileupload,56
commons-functor,4
commons-geometry,60
commons-graph,1
commons-imaging,51
commons-io,90
commons-jcs,59
commons-jexl,24
commons-lang,113
commons-logging,23
commons-math,29
commons-net,16
commons-numbers,17
commons-ognl,22
commons-parent,32
commons-pool,40
commons-rdf,12
commons-release-plugin,38
commons-rng,22
commons-scxml,16
commons-statistics,4
commons-testing,1
commons-text,70
commons-validator,14
commons-vfs,62
cordova,5
cordova-android,107
cordova-apache-board-reports,1
cordova-app-hello-world,1
cordova-browser,1
cordova-cli,5
cordova-coho,6
cordova-common,6
cordova-docs,47
cordova-electron,19
cordova-eslint,2
cordova-fetch,2
cordova-ios,16
cordova-js,3
cordova-lib,8
cordova-new-committer-and-pmc,1
cordova-osx,2
cordova-paramedic,9
cordova-plugin-battery-status,1
cordova-plugin-camera,15
cordova-plugin-contacts,4
cordova-plugin-device,2
cordova-plugin-file,18
cordova-plugin-file-transfer,3
cordova-plugin-geolocation,4
cordova-plugin-globalization,1
cordova-plugin-inappbrowser,18
cordova-plugin-media,2
cordova-plugin-media-capture,6
cordova-plugin-network-information,4
cordova-plugin-screen-orientation,3
cordova-plugin-splashscreen,5
cordova-plugin-statusbar,2
cordova-plugin-test-framework,1
cordova-plugin-whitelist,2
cordova-plugin-wkwebview-engine,2
cordova-serve,2
cordova-test-platform,1
cordova-windows,1
couchdb,228
couchdb-ci,1
couchdb-config,6
couchdb-docker,6
couchdb-documentation,50
couchdb-erlfdb,14
couchdb-fauxton,10
couchdb-folsom,1
couchdb-helm,3
couchdb-hyper,2
couchdb-ibrowse,2
couchdb-infra-cm,1
couchdb-jaeger-passage,2
couchdb-jiffy,2
couchdb-mango,1
couchdb-mochiweb,1
couchdb-nano,11
couchdb-passage,1
couchdb-pkg,5
couchdb-rebar,1
couchdb-snappy,3
couchdb-www,4
creadur-rat,6
creadur-tentacles,5
creadur-whisker,5
crunch,1
curator,21
cxf,110
cxf-fediz,1
daffodil,163
daffodil-schema.g8,1
daffodil-site,28
daffodil-vscode,1
datasketches-characterization,6
datasketches-cpp,48
datasketches-hive,5
datasketches-java,17
datasketches-memory,30
datasketches-pig,2
datasketches-postgresql,11
datasketches-server,3
datasketches-vector,1
datasketches-website,5
db-jdo,15
db-jdo-site,28
deltaspike,4
directory-kerby,55
directory-ldap-api,1
directory-scimple,1
directory-server,5
directory-site,4
directory-studio,3
dolphinscheduler,914
dolphinscheduler-website,186
drill,171
drill-site,6
druid,643
druid-website,27
druid-website-src,54
dubbo,1015
dubbo-admin,73
dubbo-benchmark,2
dubbo-getty,16
dubbo-go,369
dubbo-go-hessian2,14
dubbo-go-pixiu,124
dubbo-go-samples,191
dubbo-hessian-lite,5
dubbo-js,12
dubbo-kubernetes,2
dubbo-proxy,1
dubbo-python2,1
dubbo-samples,134
dubbo-spi-extensions,37
dubbo-spring-boot-project,9
dubbo-website,169
echarts,257
echarts-doc,32
echarts-examples,5
echarts-handbook,5
echarts-theme-builder,6
echarts-website,3
echarts-www,4
empire-db,1
felix-atomos,6
felix-dev,33
fineract,305
fineract-cn-anubis,4
fineract-cn-api,1
fineract-cn-command,1
fineract-cn-crypto,1
fineract-cn-customer,3
fineract-cn-data-jpa,1
fineract-cn-deposit-account-management,12
fineract-cn-docker-compose,3
fineract-cn-mobile,79
fineract-cn-mobile-wallet,7
fineract-cn-office,1
fineract-cn-provisioner,1
fineract-cn-rhythm,1
fineract-cn-template,1
fineract-credit-scorecard,1
fineract-open-banking-app,1
flex-blazeds,1
flink,2699
flink-benchmarks,23
flink-docker,39
flink-jira-bot,23
flink-ml,3
flink-playgrounds,7
flink-shaded,6
flink-statefun,77
flink-statefun-docker,4
flink-statefun-playground,12
flink-training,25
flink-web,60
flume,9
flume-site,1
fluo,5
fluo-muchos,21
fluo-uno,4
fluo-website,8
freemarker,3
freemarker-generator,10
fundraising-site,2
geode,984
geode-benchmarks,16
geode-examples,1
geode-native,150
geode-site,3
geronimo-arthur,2
geronimo-javamail,3
geronimo-jwt-auth,2
geronimo-metrics,1
geronimo-specs,1
geronimo-txmanager,3
geronimo-website,1
geronimo-xbean,1
giraph,3
gobblin,208
gora,14
griffin,4
groovy,166
groovy-examples,1
groovy-website,1
guacamole-client,57
guacamole-manual,13
guacamole-server,24
guacamole-website,7
hadoop,834
hadoop-site,6
hadoop-thirdparty,10
hawq,16
hbase,837
hbase-connectors,7
hbase-filesystem,8
hbase-native-client,1
hbase-operator-tools,13
hbase-site,1
hbase-thirdparty,11
helix,139
hive,808
httpcomponents-client,38
httpcomponents-core,57
httpcomponents-parent,1
httpcomponents-website,7
httpd,53
httpd-site,3
hudi,965
iceberg,677
ignite,770
ignite-3,306
ignite-extensions,39
ignite-nodejs-thin-client,1
ignite-python-thin-client,49
ignite-teamcity-bot,2
ignite-website,21
impala,8
incubator,8
incubator-age,43
incubator-age-viewer,4
incubator-age-website,15
incubator-annotator,9
incubator-bluemarlin,11
incubator-brpc,82
incubator-brpc-website,5
incubator-crail,4
incubator-datalab,259
incubator-doris,779
incubator-doris-website,2
incubator-eventmesh,192
incubator-eventmesh-site,15
incubator-flagon,1
incubator-flagon-useralejs,110
incubator-heron,39
incubator-hivemall,14
incubator-hop,530
incubator-hop-docs,42
incubator-hop-website,66
incubator-inlong,288
incubator-inlong-website,73
incubator-kyuubi,553
incubator-kyuubi-website,6
incubator-liminal,52
incubator-livy,14
incubator-marvin,1
incubator-milagro-MPC,2
incubator-milagro-crypto-c,2
incubator-mxnet,510
incubator-mxnet-ci,5
incubator-nemo,17
incubator-nlpcraft,8
incubator-nlpcraft-website,2
incubator-nuttx,1670
incubator-nuttx-apps,279
incubator-nuttx-testing,18
incubator-nuttx-website,10
incubator-pagespeed-mod,3
incubator-pegasus,95
incubator-pegasus-website,8
incubator-pinot,302
incubator-pinot-site,2
incubator-ponymail,1
incubator-ponymail-foal,21
incubator-ponymail-site,2
incubator-sdap-ingester,13
incubator-sdap-nexus,21
incubator-sdap-nexusproto,3
incubator-sedona,37
incubator-shenyu,661
incubator-shenyu-dashboard,51
incubator-shenyu-website,215
incubator-spot,1
incubator-streampipes,18
incubator-streampipes-extensions,14
incubator-streampipes-installer,4
incubator-streampipes-website,6
incubator-teaclave,65
incubator-teaclave-sgx-sdk,18
incubator-teaclave-trustzone-sdk,16
incubator-teaclave-verification,5
incubator-teaclave-website,3
incubator-toree,2
incubator-training,1
incubator-tuweni,87
incubator-warble-website,1
incubator-wayang,27
incubator-wayang-website,4
incubator-weex,13
incubator-weex-cli,2
incubator-weex-site,3
incubator-yunikorn-core,88
incubator-yunikorn-k8shim,87
incubator-yunikorn-release,19
incubator-yunikorn-scheduler-interface,24
incubator-yunikorn-site,47
incubator-yunikorn-web,15
infrastructure-aardvark-proxy,1
infrastructure-blocky-client,2
infrastructure-blocky4,1
infrastructure-kif,1
infrastructure-loggy,1
infrastructure-pelican,19
infrastructure-puppet,44
infrastructure-pypubsub,1
infrastructure-roundtrip,1
infrastructure-svnauthz,1
infrastructure-test,2
infrastructure-website,11
iotdb,1256
iotdb-bin-resources,4
iotdb-client-go,16
iotdb-web-workbench,2
isis,433
isis-app-simpleapp,3
jackrabbit,3
jackrabbit-filevault,54
jackrabbit-filevault-package-maven-plugin,11
jackrabbit-oak,107
james-hupa,1
james-jdkim,2
james-jsieve,2
james-jspf,2
james-mime4j,23
james-postage,1
james-project,367
james-site,16
jclouds,29
jclouds-labs,1
jclouds-labs-aws,1
jclouds-labs-openstack,1
jclouds-site,2
jena,180
jena-site,34
jmeter,32
johnzon,2
jspwiki,103
juddi,1
juneau,2
kafka,1512
kafka-site,54
karaf,143
karaf-cave,1
karaf-cellar,2
karaf-decanter,50
karaf-site,2
kibble,7
kibble-1,1
kibble-scanners,1
kibble-website,1
knox,98
kudu,5
kylin,214
libcloud,30
logging-chainsaw,4
logging-log4cxx,21
logging-log4j-kotlin,5
logging-log4j-site,1
logging-log4j2,122
logging-log4net,3
logging-parent,1
lucene,289
lucene-site,27
lucene-solr,395
lucenenet,81
lucenenet-site,13
madlib,46
madlib-site,4
mahout,5
maven,90
maven-antrun-plugin,9
maven-apache-parent,25
maven-archetype,6
maven-archetypes,3
maven-artifact-plugin,8
maven-artifact-transfer,24
maven-assembly-plugin,1
maven-changelog-plugin,1
maven-changes-plugin,1
maven-checkstyle-plugin,6
maven-common-artifact-filters,8
maven-compiler-plugin,30
maven-dependency-analyzer,14
maven-dependency-plugin,38
maven-dependency-tree,2
maven-deploy-plugin,1
maven-dist-tool,2
maven-docck-plugin,1
maven-doxia,21
maven-doxia-converter,10
maven-doxia-linkcheck,3
maven-doxia-site,2
maven-ear-plugin,10
maven-enforcer,26
maven-filtering,1
maven-gpg-plugin,8
maven-help-plugin,27
maven-indexer,58
maven-install-plugin,2
maven-integration-testing,17
maven-invoker,15
maven-invoker-plugin,34
maven-jar-plugin,1
maven-jarsigner-plugin,1
maven-javadoc-plugin,34
maven-jdeprscan-plugin,3
maven-jenkins-lib,1
maven-jlink-plugin,44
maven-jxr,7
maven-parent,6
maven-pdf-plugin,5
maven-plugin-tools,4
maven-pmd-plugin,6
maven-project-info-reports-plugin,1
maven-release,16
maven-resolver,40
maven-resolver-ant-tasks,3
maven-scm,7
maven-script-interpreter,17
maven-scripting-plugin,1
maven-shade-plugin,34
maven-shared-io,3
maven-shared-utils,25
maven-site,37
maven-site-plugin,28
maven-surefire,31
maven-toolchains-plugin,1
maven-wagon,3
maven-war-plugin,1
mesos,31
mesos-site,2
metamodel,8
mina-sshd,22
mina-vysper,1
mnemonic,64
mnemonic-site,11
myfaces,97
myfaces-build-tools,2
myfaces-homepage,31
myfaces-master-pom,29
myfaces-tobago,1069
myfaces-trinidad,1
mynewt-artifact,2
mynewt-blinky,1
mynewt-core,219
mynewt-documentation,3
mynewt-mcumgr,25
mynewt-newt,15
mynewt-newtmgr,3
mynewt-nimble,94
mynewt-pkg-bsp,1
mynewt-site,4
netbeans,532
netbeans-html4j,8
netbeans-jackpot30,5
netbeans-jenkins-lib,10
netbeans-l10n,2
netbeans-mavenutils-nbm-maven-harness,1
netbeans-mavenutils-nbm-maven-plugin,5
netbeans-native-launchers,2
netbeans-tools,7
netbeans-website,47
nifi,638
nifi-maven,1
nifi-minifi,1
nifi-minifi-cpp,203
nifi-registry,9
nifi-site,5
nutch,133
ofbiz-framework,71
ofbiz-plugins,16
ofbiz-site,2
olingo-odata4,3
oodt,12
oozie,6
openjpa,4
openmeetings,23
opennlp,6
opennlp-site,3
openoffice,22
openoffice-docs,7
openoffice-org,56
openoffice-project,3
openwebbeans,5
openwebbeans-meecrowave,2
openwhisk,74
openwhisk-apigateway,3
openwhisk-catalog,6
openwhisk-cli,15
openwhisk-client-go,8
openwhisk-client-js,7
openwhisk-composer,4
openwhisk-composer-python,3
openwhisk-deploy-kube,27
openwhisk-devtools,4
openwhisk-external-resources,1
openwhisk-intellij-plugin,15
openwhisk-package-alarms,8
openwhisk-package-cloudant,5
openwhisk-package-deploy,1
openwhisk-package-kafka,4
openwhisk-package-pushnotifications,1
openwhisk-pluggable-provider,1
openwhisk-release,36
openwhisk-runtime-ballerina,2
openwhisk-runtime-deno,8
openwhisk-runtime-docker,5
openwhisk-runtime-dotnet,9
openwhisk-runtime-go,18
openwhisk-runtime-java,10
openwhisk-runtime-nodejs,17
openwhisk-runtime-php,11
openwhisk-runtime-python,19
openwhisk-runtime-ruby,13
openwhisk-runtime-rust,7
openwhisk-runtime-swift,20
openwhisk-slackinvite,2
openwhisk-utilities,5
openwhisk-vscode-extension,11
openwhisk-website,29
openwhisk-wskdebug,6
openwhisk-wskdeploy,27
orc,308
ozone,882
ozone-docker,3
ozone-docker-builder,3
ozone-docker-runner,7
ozone-docker-testkrb5,3
ozone-go,9
ozone-site,11
parquet-format,15
parquet-mr,82
parquet-site,1
parquet-testing,5
pdfbox,25
pdfbox-docs,1
pdfbox-jbig2,1
petri,22
phoenix,251
phoenix-connectors,17
phoenix-omid,13
phoenix-queryserver,24
phoenix-tephra,1
phoenix-thirdparty,1
pinot,683
pinot-site,33
plc4x,66
plc4x-build-tools,2
poi,32
predictionio-sdk-php,1
privacy-website,5
pulsar,1892
pulsar-adapters,12
pulsar-client-go,92
pulsar-client-node,27
pulsar-client-ruby,2
pulsar-dotpulsar,11
pulsar-helm-chart,37
pulsar-manager,18
pulsar-test-infra,5
pulsar-translation,9
puppet-backuppc,2
qpid-broker-j,31
qpid-cpp,3
qpid-dispatch,398
qpid-jms,7
qpid-proton,50
qpid-proton-j,2
qpid-protonj2,3
ranger,33
ratis,109
ratis-thirdparty,9
reef,1
river-site,1
rocketmq,363
rocketmq-client-cpp,1
rocketmq-client-go,55
rocketmq-client-python,1
rocketmq-dashboard,7
rocketmq-docker,1
rocketmq-exporter,9
rocketmq-externals,75
rocketmq-flink,2
rocketmq-operator,4
rocketmq-site,15
rocketmq-spring,18
rocketmq-streams,43
roller,30
royale-asjs,43
royale-compiler,4
samza,76
samza-beam-examples,1
samza-hello-samza,2
santuario-xml-security-java,49
servicecomb-docs,27
servicecomb-java-chassis,158
servicecomb-kie,44
servicecomb-mesher,7
servicecomb-pack,19
servicecomb-samples,11
servicecomb-service-center,280
servicecomb-toolkit,1
servicecomb-website,18
servicemix-bundles,6
servicemix-specs,3
shardingsphere,2312
shardingsphere-benchmark,3
shardingsphere-doc,10
shardingsphere-elasticjob,59
shardingsphere-elasticjob-ui,15
shardingsphere-ui,10
shiro,46
shiro-site,14
singa,48
singa-doc,7
singa-site,11
sis,3
sis-site,1
skywalking,675
skywalking-agent-test-tool,5
skywalking-banyandb,45
skywalking-banyandb-java-client,2
skywalking-cli,30
skywalking-client-js,38
skywalking-data-collect-protocol,13
skywalking-docker,12
skywalking-eyes,51
skywalking-goapi,12
skywalking-infra-e2e,42
skywalking-java,21
skywalking-kong,15
skywalking-kubernetes,16
skywalking-kubernetes-event-exporter,10
skywalking-nginx-lua,34
skywalking-nodejs,40
skywalking-python,47
skywalking-query-protocol,15
skywalking-rocketbot-ui,104
skywalking-rust,1
skywalking-satellite,52
skywalking-swck,15
skywalking-website,136
sling-aggregator,1
sling-archetype-parent,1
sling-feature-converter-maven-plugin,2
sling-feature-launcher-maven-plugin,2
sling-htl-maven-plugin,1
sling-jspc-maven-plugin,3
sling-maven-plugin,1
sling-org-apache-sling-api,7
sling-org-apache-sling-app-cms,2
sling-org-apache-sling-auth-core,5
sling-org-apache-sling-auth-form,4
sling-org-apache-sling-auth-saml2,3
sling-org-apache-sling-committer-cli,2
sling-org-apache-sling-commons-crypto,1
sling-org-apache-sling-commons-scheduler,1
sling-org-apache-sling-discovery-base,4
sling-org-apache-sling-discovery-commons,4
sling-org-apache-sling-discovery-oak,3
sling-org-apache-sling-distribution-api,2
sling-org-apache-sling-distribution-core,11
sling-org-apache-sling-distribution-journal,27
sling-org-apache-sling-distribution-journal-kafka,1
sling-org-apache-sling-distribution-journal-messages,3
sling-org-apache-sling-dynamic-include,5
sling-org-apache-sling-engine,8
sling-org-apache-sling-event,7
sling-org-apache-sling-feature,7
sling-org-apache-sling-feature-analyser,3
sling-org-apache-sling-feature-apiregions,2
sling-org-apache-sling-feature-cpconverter,69
sling-org-apache-sling-feature-extension-apiregions,2
sling-org-apache-sling-feature-extension-content,2
sling-org-apache-sling-feature-extension-unpack,1
sling-org-apache-sling-feature-inventoryprinter,1
sling-org-apache-sling-feature-launcher,16
sling-org-apache-sling-graphql-core,10
sling-org-apache-sling-graphql-schema-aggregator,2
sling-org-apache-sling-i18n,2
sling-org-apache-sling-installer-factory-configuration,1
sling-org-apache-sling-installer-factory-feature,1
sling-org-apache-sling-installer-provider-file,1
sling-org-apache-sling-jcr-base,3
sling-org-apache-sling-jcr-contentloader,1
sling-org-apache-sling-jcr-jackrabbit-accessmanager,4
sling-org-apache-sling-jcr-jackrabbit-usermanager,4
sling-org-apache-sling-jcr-maintenance,1
sling-org-apache-sling-jcr-oak-server,1
sling-org-apache-sling-jcr-packageinit,5
sling-org-apache-sling-jcr-repoinit,9
sling-org-apache-sling-jcr-resource,5
sling-org-apache-sling-jcr-webconsole,1
sling-org-apache-sling-junit-core,2
sling-org-apache-sling-launchpad-base,2
sling-org-apache-sling-launchpad-integration-tests,2
sling-org-apache-sling-launchpad-test-services,1
sling-org-apache-sling-models-impl,2
sling-org-apache-sling-repoinit-parser,8
sling-org-apache-sling-resourcemerger,4
sling-org-apache-sling-resourceresolver,9
sling-org-apache-sling-rewriter,1
sling-org-apache-sling-scripting-core,4
sling-org-apache-sling-scripting-javascript,1
sling-org-apache-sling-scripting-jsp,1
sling-org-apache-sling-scripting-sightly,5
sling-org-apache-sling-scripting-sightly-compiler,1
sling-org-apache-sling-scripting-sightly-runtime,4
sling-org-apache-sling-scripting-sightly-testing,3
sling-org-apache-sling-scripting-sightly-testing-content,2
sling-org-apache-sling-scripting-spi,1
sling-org-apache-sling-serviceusermapper,5
sling-org-apache-sling-servlets-annotations,1
sling-org-apache-sling-servlets-get,4
sling-org-apache-sling-servlets-post,7
sling-org-apache-sling-servlets-resolver,5
sling-org-apache-sling-sitemap,2
sling-org-apache-sling-starter,11
sling-org-apache-sling-testing-clients,2
sling-org-apache-sling-testing-jcr-mock,2
sling-org-apache-sling-testing-osgi-mock,4
sling-org-apache-sling-testing-paxexam,1
sling-org-apache-sling-testing-resourceresolver-mock,1
sling-org-apache-sling-testing-sling-mock,1
sling-org-apache-sling-testing-sling-mock-oak,2
sling-org-apache-sling-xss,2
sling-parent,8
sling-project-archetype,10
sling-scriptingbundle-maven-plugin,6
sling-site,16
sling-slingfeature-maven-plugin,4
sling-tooling-release,1
sling-whiteboard,7
solr,292
solr-operator,88
solr-sandbox,4
solr-site,38
spark,2969
spark-website,56
sqoop,3
steve,1
storm,42
struts,35
struts-examples,65
struts-site,2
submarine,248
superset,2384
superset-site,14
synapse,3
syncope,57
systemds,253
systemds-website,26
tapestry-5,2
tcl-rivet,1
template-site,4
tez,65
thrift,156
tika,57
tika-docker,4
tika-helm,5
tinkerpop,96
tomcat,50
tomcat-jakartaee-migration,5
tomcat-maven-plugin,1
tomcat-native,2
tomcat-taglibs-standard,1
tomee,58
tomee-chatterbox,1
tomee-jakarta,1
tomee-patch-plugin,4
tomee-site-generator,10
tomee-site-pub,2
tomee-tck,1
trafficcontrol,574
trafficcontrol-website,1
trafficserver,688
trafficserver-ci,42
trafficserver-ingress-controller,16
treasurer-site,2
turbine-archetypes,1
tvm,1492
tvm-rfcs,32
tvm-site,9
tvm-vta,15
uima-async-scaleout,2
uima-build-resources,3
uima-parent-pom,8
uima-ruta,36
uima-uimafit,16
uima-uimaj,53
unomi,107
unomi-site,5
vcl,1
velocity-engine,6
velocity-site,6
whimsy,8
wicket,16
ws-axiom,93
ws-wss4j,24
